,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2024-02-01 17:25:31,2024-02-01 13:40:27,32202.0,343.0,286.0,65.0,1930.0,456.0,849.0,3468.0,2024-02-01 03:02:13,4.5.0,104339.0,2819.0,25.0,157.0,30,True,1,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2024-02-01 18:04:50,2024-02-01 17:35:23,8730.0,1547.0,185.0,31.0,9898.0,146.0,118.0,586.0,,,,,,205.0,23,True,2,,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2024-02-01 09:44:58,2024-02-01 09:44:58,297.0,4.0,31.0,11.0,54.0,22.0,44.0,242.0,2023-09-08 08:29:17,3.0.0,495022.0,7071.0,50.0,19.0,19,True,2,,
3,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2024-01-31 09:50:48,2024-01-31 09:50:47,2447.0,37.0,31.0,14.0,219.0,49.0,119.0,111.0,2024-01-31 09:52:26,0.0.127,426.0,12.0,100.0,50.0,18,True,1,,
4,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2024-01-25 14:16:03,2024-01-25 14:14:52,712.0,221.0,6.0,6.0,13.0,6.0,17.0,260.0,2024-01-13 09:27:27,1.0.0,,,2.0,4.0,17,True,3,2.0,
5,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover/std4,https://github.com/leanprover/std4,Apache-2.0,2022-08-28 15:23:46,2024-02-01 17:33:46,2024-02-01 04:38:07,633.0,172.0,70.0,21.0,525.0,28.0,21.0,166.0,,,,,,44.0,17,True,3,3.0,
6,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2024-01-31 22:38:16,2024-01-30 23:35:17,198.0,19.0,14.0,8.0,22.0,13.0,6.0,71.0,2024-01-31 22:40:14,0.0.27-pre2,95189.0,7322.0,36.0,9.0,17,True,1,,
7,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2024-01-14 12:25:18,2024-01-14 12:23:23,246.0,33.0,43.0,10.0,97.0,12.0,21.0,187.0,,,230.0,230.0,1.0,19.0,16,True,1,2.0,
8,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2024-02-01 04:07:13,2024-01-23 13:16:50,10129.0,78.0,93.0,12.0,405.0,17.0,14.0,43.0,,,,,,93.0,16,True,1,,
9,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2024-01-26 11:06:29,2024-01-22 12:31:43,893.0,148.0,15.0,9.0,23.0,52.0,117.0,77.0,2023-12-25 11:03:17,4.4.0,,,6.0,12.0,15,True,1,,
10,SciLean,lecopivo/SciLean,package,Scientific computing in Lean 4.,https://github.com/lecopivo/SciLean,https://github.com/lecopivo/SciLean,Apache-2.0,2021-09-27 21:50:10,2024-02-01 15:22:28,2024-01-17 18:52:26,1269.0,121.0,15.0,14.0,6.0,16.0,9.0,180.0,,,,,,6.0,14,True,1,-1.0,
11,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2024-01-27 20:46:39,2024-01-27 20:46:16,458.0,40.0,33.0,8.0,104.0,26.0,46.0,49.0,,,,,,24.0,14,True,3,,
12,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,Theorem Proving in Lean 4.,https://github.com/leanprover/theorem_proving_in_lean4,https://lean-lang.org/theorem_proving_in_lean4/,Apache-2.0,2021-08-24 18:41:32,2024-01-27 15:55:19,2024-01-25 14:41:29,1067.0,4.0,69.0,12.0,79.0,11.0,9.0,127.0,,,,,,66.0,12,True,2,,
