,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2025-02-13 16:45:24,2025-02-13 16:00:29,35195.0,779.0,457.0,65.0,4968.0,636.0,1456.0,5054.0,2025-02-03 07:17:40,4.16.0,663368.0,13538.0,63.0,217.0,32,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2025-02-13 18:12:52,2025-02-13 17:28:53,18159.0,2223.0,360.0,37.0,21393.0,237.0,205.0,1734.0,,,,,,397.0,25,True,2,,,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2025-01-30 13:29:07,2025-01-30 13:28:44,345.0,22.0,39.0,18.0,76.0,27.0,54.0,339.0,2025-01-30 13:32:11,4.0.0,1024932.0,12499.0,63.0,24.0,22,True,2,1.0,,
3,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2025-01-30 15:22:55,2025-01-30 15:22:53,2670.0,29.0,55.0,12.0,351.0,48.0,172.0,184.0,2025-01-30 15:25:16,0.0.194,543.0,16.0,100.0,58.0,20,True,1,,,
4,LeanCopilot,lean-dojo/LeanCopilot,tool,LLMs as Copilots for Theorem Proving in Lean.,https://github.com/lean-dojo/LeanCopilot,https://github.com/lean-dojo/LeanCopilot,MIT,2023-09-09 01:52:22,2025-02-03 21:01:09,2025-02-03 21:00:50,736.0,40.0,96.0,15.0,84.0,12.0,38.0,1033.0,2025-01-04 08:29:14,4.15.0,3455.0,203.0,34.0,13.0,19,True,2,2.0,,
5,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2025-02-12 23:55:31,2025-02-12 04:21:10,364.0,31.0,30.0,8.0,81.0,14.0,10.0,125.0,2025-02-03 09:06:25,0.0.51,452395.0,18095.0,78.0,16.0,19,True,1,,,
6,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2025-02-13 17:15:03,2025-02-11 11:02:16,1020.0,50.0,114.0,17.0,1068.0,21.0,43.0,282.0,2025-02-03 08:29:28,4.16.0,3.0,1.0,8.0,69.0,18,True,3,,leanprover-community/batteries,
7,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2025-02-09 19:53:55,2025-02-09 19:53:55,1088.0,26.0,39.0,13.0,53.0,80.0,157.0,233.0,2024-04-10 13:24:11,4.7.0,,,10.0,21.0,17,True,1,,,
8,LeanDojo,lean-dojo/LeanDojo,tool,Tool for data extraction and interacting with Lean programmatically.,https://github.com/lean-dojo/LeanDojo,https://github.com/lean-dojo/LeanDojo,MIT,2023-06-13 22:04:26,2025-02-12 19:12:17,2025-02-12 19:12:17,597.0,8.0,95.0,14.0,120.0,2.0,68.0,612.0,2024-12-08 17:07:11,2.2.0,,,34.0,17.0,16,True,2,,,
9,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2025-02-01 00:33:29,2025-02-01 00:29:41,862.0,12.0,10.0,9.0,17.0,10.0,23.0,386.0,2025-01-15 00:24:38,1.6.5,,,5.0,5.0,16,True,2,,,
