,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2024-01-18 17:39:21,2024-01-18 09:44:17,32143.0,362.0,284.0,65.0,1898.0,451.0,841.0,3417.0,2023-12-21 22:52:38,4.4.0,95217.0,2644.0,24.0,156.0,30,True,1,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2024-01-18 17:56:13,2024-01-18 17:01:13,8503.0,1616.0,181.0,30.0,9585.0,135.0,117.0,556.0,,,,,,202.0,23,True,2,1.0,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2023-12-22 08:56:39,2023-12-22 08:56:39,296.0,3.0,30.0,10.0,52.0,21.0,44.0,239.0,2023-09-08 08:29:17,3.0.0,487476.0,7064.0,50.0,18.0,19,True,2,,
3,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2024-01-17 10:59:08,2024-01-17 10:59:07,2442.0,40.0,31.0,13.0,217.0,49.0,117.0,107.0,2024-01-17 11:00:34,0.0.124,425.0,12.0,100.0,50.0,18,True,1,,
4,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2024-01-14 03:05:44,2024-01-14 03:05:44,701.0,227.0,6.0,6.0,12.0,5.0,17.0,235.0,2024-01-13 09:27:27,1.0.0,,,2.0,4.0,17,True,3,2.0,
5,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2024-01-11 16:02:12,2024-01-07 22:49:20,196.0,21.0,13.0,8.0,19.0,13.0,6.0,71.0,2024-01-11 16:04:11,0.0.26-pre,87896.0,7324.0,32.0,8.0,17,True,1,,
6,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2024-01-18 13:22:07,2024-01-12 10:37:00,10125.0,86.0,92.0,12.0,402.0,17.0,14.0,43.0,,,,,,92.0,16,True,1,,
7,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2024-01-14 12:25:18,2024-01-14 12:23:23,246.0,33.0,41.0,10.0,97.0,12.0,21.0,184.0,,,81.0,81.0,1.0,19.0,15,True,1,1.0,
8,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover/std4,https://github.com/leanprover/std4,Apache-2.0,2022-08-28 15:23:46,2024-01-18 16:58:15,2024-01-18 03:32:25,614.0,184.0,67.0,19.0,495.0,27.0,20.0,161.0,,,,,,41.0,15,True,3,,
9,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2024-01-18 13:57:55,2024-01-18 12:51:33,886.0,164.0,14.0,9.0,22.0,50.0,113.0,73.0,2023-12-25 11:03:17,4.4.0,,,6.0,11.0,15,True,1,,
