,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2026-05-14 17:37:58,2026-05-14 17:20:57,40358.0,869.0,832.0,76.0,10600.0,906.0,2175.0,8030.0,2026-04-14 16:45:34,4.28.1,3574305.0,115300.0,100.0,279.0,34,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2026-05-14 19:17:53,2026-05-14 18:30:30,31679.0,3107.0,1284.0,34.0,38770.0,270.0,332.0,3291.0,2026-04-18 12:52:18,4.29.1,,,10.0,764.0,29,True,2,,,
2,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2026-04-28 07:58:23,2026-04-28 07:58:20,2865.0,73.0,93.0,10.0,513.0,47.0,205.0,280.0,2026-04-28 08:01:15,0.0.236,1174.0,43.0,100.0,74.0,22,True,1,,,
3,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2026-04-17 13:17:21,2026-04-17 13:03:21,474.0,19.0,43.0,8.0,142.0,13.0,17.0,205.0,2026-04-17 13:18:11,0.0.98,1501134.0,60045.0,100.0,22.0,22,True,1,1.0,,
4,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2026-03-18 12:29:30,2026-03-18 12:29:29,377.0,9.0,50.0,13.0,98.0,37.0,62.0,526.0,2026-03-18 12:33:19,4.2.1,2791753.0,28780.0,70.0,28.0,21,True,2,,,
5,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2026-05-14 16:42:40,2026-05-05 05:40:00,1248.0,41.0,145.0,10.0,1721.0,28.0,54.0,382.0,2026-03-27 21:15:01,4.29.0,202.0,11.0,49.0,84.0,19,True,3,-1.0,leanprover-community/batteries,
6,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2026-05-14 05:21:04,2026-05-13 14:47:53,10528.0,50.0,180.0,12.0,799.0,20.0,25.0,76.0,,,,,,168.0,19,True,1,,,
7,LeanCopilot,lean-dojo/LeanCopilot,tool,LLMs as Copilots for Theorem Proving in Lean.,https://github.com/lean-dojo/LeanCopilot,https://github.com/lean-dojo/LeanCopilot,MIT,2023-09-09 01:52:22,2026-02-17 01:15:05,2026-02-17 01:15:00,912.0,8.0,125.0,15.0,113.0,4.0,59.0,1277.0,2026-02-16 23:28:40,4.28.0,4782.0,149.0,46.0,14.0,18,True,2,,,
8,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2026-04-08 22:08:54,2026-04-08 22:08:13,976.0,23.0,17.0,12.0,22.0,14.0,35.0,522.0,2026-04-08 02:10:36,2.10.0,,,12.0,6.0,16,True,2,,,
9,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2026-05-08 14:42:36,2026-05-08 08:13:47,1295.0,39.0,87.0,6.0,186.0,111.0,217.0,490.0,,,,,,36.0,16,True,1,,,
10,lean4web,leanprover-community/lean4web,tool,Web editor.,https://github.com/leanprover-community/lean4web,https://live.lean-lang.org/,Apache-2.0,2022-10-25 08:49:35,2026-05-14 15:30:03,2026-05-14 15:30:01,440.0,24.0,49.0,6.0,46.0,7.0,58.0,138.0,2026-03-18 22:44:03,0.2.1,,,2.0,15.0,16,True,2,,,
