,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2024-10-17 15:21:35,2024-10-17 14:46:10,34167.0,743.0,406.0,64.0,3881.0,582.0,1278.0,4601.0,2024-10-01 03:45:48,4.12.0,403975.0,8977.0,52.0,194.0,32,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2024-10-17 18:07:03,2024-10-17 17:56:40,14836.0,2304.0,312.0,38.0,17471.0,221.0,181.0,1468.0,,,,,,342.0,25,True,2,,,
2,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2024-10-17 17:09:30,2024-10-17 17:09:09,2630.0,27.0,48.0,11.0,323.0,44.0,161.0,162.0,2024-10-17 17:12:05,0.0.181,450.0,14.0,100.0,58.0,20,True,1,,,
3,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2024-10-08 14:02:05,2024-10-08 13:52:50,322.0,6.0,35.0,16.0,64.0,23.0,51.0,309.0,2024-02-22 22:04:49,3.1.1,778103.0,9975.0,55.0,20.0,19,True,2,1.0,,
4,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2024-10-17 07:21:34,2024-10-03 12:48:03,315.0,31.0,26.0,8.0,62.0,13.0,7.0,109.0,2024-10-17 01:31:16,0.0.43,334278.0,15918.0,62.0,14.0,19,True,1,,,
5,LeanDojo,lean-dojo/LeanDojo,tool,Tool for data extraction and interacting with Lean programmatically.,https://github.com/lean-dojo/LeanDojo,https://github.com/lean-dojo/LeanDojo,MIT,2023-06-13 22:04:26,2024-10-13 22:39:07,2024-10-13 22:35:35,589.0,53.0,86.0,13.0,119.0,5.0,58.0,556.0,2024-10-13 22:39:07,2.1.3,,,33.0,17.0,18,True,2,,,
6,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2024-10-15 13:17:33,2024-10-15 13:17:22,838.0,113.0,9.0,7.0,17.0,11.0,23.0,353.0,2024-08-27 09:52:50,1.6.0,,,3.0,5.0,17,True,3,,,
7,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2024-10-17 17:34:12,2024-10-17 11:40:51,927.0,90.0,101.0,16.0,937.0,28.0,33.0,242.0,,,,,,61.0,16,True,3,,leanprover-community/batteries,
8,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2024-10-07 03:04:27,2024-10-07 03:02:50,279.0,15.0,52.0,11.0,108.0,17.0,22.0,214.0,,,23.0,23.0,1.0,23.0,16,True,1,1.0,,
9,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2024-10-11 09:10:46,2024-10-01 08:28:07,1050.0,17.0,33.0,9.0,44.0,72.0,153.0,183.0,2024-04-10 13:24:11,4.7.0,,,10.0,19.0,16,True,1,,,
10,SciLean,lecopivo/SciLean,package,Scientific computing in Lean 4.,https://github.com/lecopivo/SciLean,https://github.com/lecopivo/SciLean,Apache-2.0,2021-09-27 21:50:10,2024-10-03 13:48:06,2024-10-03 13:47:26,1753.0,104.0,26.0,18.0,12.0,18.0,15.0,313.0,,,,,,9.0,15,True,1,,,
11,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,https://github.com/leanprover-community/aesop,https://github.com/leanprover-community/aesop,Apache-2.0,2021-06-01 13:02:59,2024-10-17 10:39:34,2024-10-03 12:21:04,802.0,57.0,27.0,9.0,107.0,19.0,41.0,198.0,,,,,,20.0,15,True,1,,,
12,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2024-10-17 04:08:28,2024-10-10 15:05:16,10232.0,31.0,121.0,12.0,502.0,22.0,15.0,52.0,,,,,,114.0,15,True,1,-1.0,,
13,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2024-10-16 12:21:34,2024-10-16 12:21:24,529.0,19.0,41.0,12.0,143.0,25.0,54.0,63.0,,,,,,31.0,14,True,3,,,
14,lean4web,leanprover-community/lean4web,tool,Web editor.,https://github.com/leanprover-community/lean4web,https://live.lean-lang.org/,Apache-2.0,2022-10-25 08:49:35,2024-09-23 18:31:04,2024-09-23 18:31:04,343.0,100.0,17.0,9.0,6.0,6.0,29.0,66.0,,,,,,6.0,13,True,3,,,
15,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,Theorem Proving in Lean 4.,https://github.com/leanprover/theorem_proving_in_lean4,https://lean-lang.org/theorem_proving_in_lean4/,Apache-2.0,2021-08-24 18:41:32,2024-10-14 11:24:51,2024-10-14 11:24:33,1085.0,1.0,83.0,11.0,96.0,21.0,13.0,159.0,,,,,,80.0,12,True,2,,,
16,Mathematics in Lean,leanprover-community/mathematics_in_lean,tutorial,Note that there are many parts of the documentation at leanprover-community.github.io that have not been updated.,https://github.com/leanprover-community/mathematics_in_lean,https://leanprover-community.github.io/mathematics_in_lean/,,2020-04-25 01:10:56,2024-10-05 14:32:16,2024-10-05 14:32:11,78.0,10.0,182.0,14.0,19.0,,,252.0,,,,,,3.0,11,True,2,,,
17,The mechanics of proof,hrmacbeth/math2001,tutorial,Early university level course.,https://github.com/hrmacbeth/math2001,https://hrmacbeth.github.io/math2001/,,2022-01-24 19:33:15,2024-10-04 03:55:02,2024-10-04 03:54:58,265.0,8.0,73.0,3.0,9.0,9.0,7.0,192.0,,,,,,,10,True,3,,,
18,SMT Lean,ufmg-smite/lean-smt,package,Tactics for discharging Lean goals into SMT solvers.,https://github.com/ufmg-smite/lean-smt,https://github.com/ufmg-smite/lean-smt,Apache-2.0,2021-11-23 20:54:14,2024-10-11 03:45:24,2024-10-11 03:45:24,120.0,12.0,19.0,8.0,121.0,7.0,8.0,97.0,,,,,,7.0,10,True,2,1.0,,
19,quote4,leanprover-community/quote4,core,"Intuitive, type-safe expression quotations for Lean 4.",https://github.com/leanprover-community/quote4,https://github.com/leanprover-community/quote4,Apache-2.0,2021-05-08 19:00:07,2024-10-17 10:44:42,2024-10-09 19:07:33,168.0,7.0,11.0,6.0,37.0,13.0,9.0,74.0,,,,,,8.0,10,True,3,,,
20,CvxLean,verified-optimization/CvxLean,package,Convex optimization modeling in Lean 4.,https://github.com/verified-optimization/CvxLean,https://github.com/verified-optimization/CvxLean,Apache-2.0,2022-10-14 10:05:55,2024-05-31 12:43:00,2024-05-20 15:01:43,1237.0,,4.0,3.0,33.0,9.0,,39.0,2024-03-22 16:22:23,2.0,,,1.0,3.0,10,True,2,,,
21,Lean Math Workshop,yuma-mizuno/lean-math-workshop,sample,Materials for a workshop held in Japan.,https://github.com/yuma-mizuno/lean-math-workshop,https://github.com/yuma-mizuno/lean-math-workshop,Apache-2.0,2023-05-30 10:58:24,2024-07-13 20:09:41,2024-07-13 20:09:40,210.0,,20.0,7.0,28.0,1.0,12.0,67.0,,,,,,5.0,9,True,1,,,['ja']
