,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2025-07-24 16:29:24,2025-07-24 14:57:07,37230.0,1178.0,626.0,68.0,7080.0,715.0,1705.0,6051.0,2025-06-30 00:14:23,4.21.0,1124037.0,20815.0,86.0,240.0,33,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2025-07-24 18:01:14,2025-07-24 17:52:14,22175.0,2019.0,656.0,37.0,26924.0,272.0,237.0,2190.0,,,,,,480.0,25,True,2,,,
2,LeanCopilot,lean-dojo/LeanCopilot,tool,LLMs as Copilots for Theorem Proving in Lean.,https://github.com/lean-dojo/LeanCopilot,https://github.com/lean-dojo/LeanCopilot,MIT,2023-09-09 01:52:22,2025-07-13 23:41:23,2025-07-13 23:41:22,852.0,45.0,106.0,14.0,105.0,3.0,57.0,1131.0,2025-07-01 03:48:53,4.21.0,4104.0,186.0,39.0,14.0,21,True,1,,,
3,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2025-05-26 08:58:25,2025-05-26 08:58:24,361.0,8.0,44.0,16.0,82.0,32.0,58.0,408.0,2025-05-26 09:06:33,4.1.2,1391612.0,15995.0,67.0,26.0,21,True,2,,,
4,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2025-07-24 14:21:31,2025-07-24 11:48:24,2726.0,21.0,71.0,11.0,394.0,53.0,179.0,221.0,2025-06-26 11:36:00,0.0.209,633.0,18.0,100.0,68.0,20,True,2,,,
5,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2025-07-24 04:04:19,2025-07-24 03:57:27,420.0,29.0,39.0,8.0,102.0,13.0,14.0,148.0,2025-07-24 04:06:14,0.0.68,703435.0,23447.0,98.0,20.0,19,True,1,,,
6,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2025-07-24 18:00:38,2025-07-24 15:02:28,1088.0,41.0,123.0,15.0,1273.0,23.0,46.0,318.0,2025-06-30 01:56:03,4.21.0,56.0,7.0,24.0,73.0,18,True,3,leanprover-community/batteries,-1.0,
7,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2025-07-24 08:13:24,2025-07-16 14:34:01,1171.0,41.0,54.0,11.0,82.0,96.0,163.0,292.0,2024-04-10 13:24:11,4.7.0,,,10.0,24.0,18,True,1,,-1.0,
8,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2025-07-24 04:21:49,2025-07-21 17:37:24,10367.0,46.0,152.0,14.0,629.0,18.0,24.0,64.0,,,,,,143.0,18,True,1,,,
9,LeanDojo,lean-dojo/LeanDojo,tool,Tool for data extraction and interacting with Lean programmatically.,https://github.com/lean-dojo/LeanDojo,https://github.com/lean-dojo/LeanDojo,MIT,2023-06-13 22:04:26,2025-06-13 16:25:33,2025-06-13 03:24:38,620.0,19.0,108.0,14.0,129.0,5.0,80.0,682.0,2025-06-13 16:25:33,4.20.0,,,35.0,19.0,17,True,2,,,
