,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2024-06-22 11:05:35,2024-06-22 01:24:23,33239.0,543.0,341.0,66.0,2936.0,516.0,1072.0,3990.0,2024-06-05 03:24:31,4.8.0,227717.0,5554.0,36.0,176.0,30,True,1,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2024-06-22 11:05:08,2024-06-22 09:56:28,11737.0,1815.0,249.0,40.0,13651.0,214.0,159.0,1131.0,,,,,,277.0,25,True,2,,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2024-06-19 12:55:20,2024-06-19 12:55:16,315.0,11.0,34.0,18.0,60.0,19.0,51.0,273.0,2024-02-22 22:04:49,3.1.1,593328.0,8017.0,54.0,19.0,20,True,2,,
3,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2024-06-21 20:04:17,2024-06-21 20:04:06,2562.0,88.0,41.0,13.0,285.0,41.0,148.0,135.0,2024-06-19 14:11:30,0.0.164,348.0,12.0,100.0,55.0,19,True,1,,
4,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2024-06-21 19:36:27,2024-06-05 08:31:02,255.0,35.0,21.0,8.0,47.0,12.0,7.0,92.0,2024-05-07 04:40:40,0.0.36,184191.0,10834.0,48.0,13.0,19,True,1,,
5,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2024-06-22 10:53:29,2024-06-21 01:06:34,817.0,85.0,87.0,21.0,795.0,27.0,32.0,217.0,,,,,,58.0,17,True,3,leanprover-community/batteries,
6,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2024-06-18 13:41:01,2024-06-13 09:46:01,1028.0,59.0,23.0,9.0,31.0,61.0,151.0,130.0,2024-04-10 13:24:11,4.7.0,,,10.0,17.0,17,True,1,,
7,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2024-06-01 10:19:13,2024-06-01 10:19:13,725.0,11.0,8.0,6.0,14.0,10.0,20.0,318.0,2024-01-13 09:27:27,1.0.0,,,2.0,5.0,15,True,3,,
8,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2024-05-08 13:08:56,2024-04-21 07:32:18,263.0,16.0,46.0,10.0,102.0,17.0,22.0,203.0,,,262.0,131.0,1.0,19.0,15,True,1,,
9,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,https://github.com/leanprover-community/aesop,https://github.com/leanprover-community/aesop,Apache-2.0,2021-06-01 13:02:59,2024-06-21 10:41:22,2024-06-18 14:19:08,713.0,74.0,24.0,9.0,84.0,17.0,41.0,153.0,,,,,,18.0,15,True,1,,
