,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2025-11-20 17:59:17,2025-11-20 16:42:27,38616.0,975.0,688.0,70.0,8553.0,779.0,1922.0,6737.0,2025-11-18 04:45:13,4.25.1,1819121.0,31364.0,97.0,257.0,33,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2025-11-20 18:11:51,2025-11-20 16:02:39,25753.0,2591.0,874.0,36.0,31299.0,267.0,283.0,2536.0,,,,,,594.0,25,True,2,,,
2,LeanCopilot,lean-dojo/LeanCopilot,tool,LLMs as Copilots for Theorem Proving in Lean.,https://github.com/lean-dojo/LeanCopilot,https://github.com/lean-dojo/LeanCopilot,MIT,2023-09-09 01:52:22,2025-11-18 00:27:20,2025-11-18 00:27:16,886.0,22.0,116.0,14.0,110.0,2.0,58.0,1186.0,2025-11-17 22:59:57,4.25.0,4381.0,168.0,43.0,14.0,20,True,1,,,
3,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2025-10-06 11:10:06,2025-10-06 11:10:06,368.0,7.0,48.0,14.0,91.0,35.0,60.0,445.0,2025-05-26 09:06:33,4.1.2,1846033.0,20286.0,67.0,28.0,20,True,2,-1.0,,
4,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2025-11-20 17:30:00,2025-11-18 13:04:01,1154.0,47.0,126.0,11.0,1446.0,25.0,50.0,339.0,2025-11-18 05:38:08,4.25.1,138.0,11.0,34.0,78.0,20,True,2,,leanprover-community/batteries,
5,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2025-11-13 13:23:23,2025-11-13 13:23:21,2781.0,41.0,80.0,9.0,440.0,50.0,187.0,238.0,2025-11-13 13:25:39,0.0.221,504.0,18.0,100.0,71.0,20,True,1,,,
6,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2025-11-19 11:07:51,2025-11-18 07:51:36,445.0,18.0,39.0,8.0,116.0,13.0,16.0,165.0,2025-11-18 08:00:45,0.0.81,1019682.0,40787.0,100.0,20.0,20,True,1,,,
7,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2025-11-20 13:26:04,2025-11-20 12:52:15,10440.0,72.0,163.0,12.0,703.0,18.0,25.0,66.0,,,,,,154.0,19,True,1,2.0,,
8,LeanDojo,lean-dojo/LeanDojo,tool,Tool for data extraction and interacting with Lean programmatically.,https://github.com/lean-dojo/LeanDojo,https://github.com/lean-dojo/LeanDojo,MIT,2023-06-13 22:04:26,2025-09-13 03:19:57,2025-09-13 03:19:57,622.0,2.0,115.0,13.0,131.0,5.0,80.0,727.0,2025-06-13 16:25:33,4.20.0,,,35.0,21.0,16,True,2,,,
9,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2025-11-17 11:25:56,2025-11-17 11:25:56,952.0,40.0,13.0,11.0,22.0,14.0,27.0,475.0,2025-11-16 20:42:15,2.7.0,,,11.0,6.0,16,True,2,,,
10,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2025-11-12 07:51:32,2025-11-12 07:51:32,1246.0,40.0,60.0,7.0,123.0,100.0,191.0,343.0,,,,,,33.0,16,True,1,-1.0,,
11,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,https://github.com/leanprover-community/aesop,https://github.com/leanprover-community/aesop,Apache-2.0,2021-06-01 13:02:59,2025-11-19 11:09:50,2025-11-18 20:22:24,874.0,18.0,41.0,6.0,186.0,36.0,49.0,313.0,,,,,,27.0,15,True,1,,,
12,SciLean,lecopivo/SciLean,package,Scientific computing in Lean 4.,https://github.com/lecopivo/SciLean,https://github.com/lecopivo/SciLean,Apache-2.0,2021-09-27 21:50:10,2025-06-09 19:27:04,2025-06-09 19:25:12,2146.0,,36.0,21.0,15.0,26.0,21.0,437.0,,,,,,10.0,14,True,2,,,
13,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2025-02-28 21:40:12,2025-02-28 21:36:57,306.0,,67.0,6.0,128.0,20.0,24.0,267.0,,,1053.0,117.0,1.0,26.0,14,True,1,,,
14,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,Theorem Proving in Lean 4.,https://github.com/leanprover/theorem_proving_in_lean4,https://lean-lang.org/theorem_proving_in_lean4/,Apache-2.0,2021-08-24 18:41:32,2025-10-23 19:09:07,2025-10-23 19:09:07,1097.0,4.0,107.0,8.0,121.0,60.0,15.0,219.0,,,,,,82.0,14,True,1,1.0,,
15,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2025-11-18 07:46:03,2025-11-18 07:45:07,693.0,20.0,56.0,10.0,236.0,23.0,70.0,111.0,,,,,,44.0,14,True,3,,,
