,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2026-02-07 09:31:56,2026-02-07 09:05:46,39402.0,929.0,744.0,72.0,9462.0,841.0,2018.0,7259.0,2026-01-23 12:41:16,4.27.0,2301174.0,54789.0,100.0,268.0,33,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2026-02-07 08:13:20,2026-02-07 08:00:17,28315.0,2963.0,1042.0,35.0,34364.0,259.0,307.0,2870.0,,,,,,669.0,25,True,2,,,
2,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2026-01-26 07:16:25,2026-01-26 04:48:16,455.0,13.0,42.0,8.0,125.0,13.0,16.0,177.0,2026-01-26 07:18:07,0.0.86,1227697.0,47219.0,100.0,21.0,21,True,1,1.0,,
3,LeanCopilot,lean-dojo/LeanCopilot,tool,LLMs as Copilots for Theorem Proving in Lean.,https://github.com/lean-dojo/LeanCopilot,https://github.com/lean-dojo/LeanCopilot,MIT,2023-09-09 01:52:22,2026-01-10 06:28:24,2026-01-10 06:28:24,895.0,15.0,121.0,14.0,111.0,4.0,58.0,1220.0,2025-12-18 08:48:08,4.26.0,4505.0,155.0,44.0,14.0,20,True,1,,,
4,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2026-02-05 23:34:52,2025-10-06 11:10:06,368.0,,50.0,13.0,92.0,37.0,60.0,473.0,2025-05-26 09:06:33,4.1.2,2134020.0,22702.0,67.0,28.0,20,True,2,-1.0,,
5,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2026-02-07 09:53:11,2026-02-03 23:20:27,1193.0,48.0,134.0,11.0,1573.0,29.0,53.0,358.0,2026-01-23 23:42:34,4.27.0,152.0,10.0,39.0,81.0,20,True,2,,leanprover-community/batteries,
6,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2026-02-06 18:12:15,2026-02-06 18:12:14,2791.0,14.0,85.0,9.0,447.0,54.0,188.0,250.0,2025-11-13 13:25:39,0.0.221,581.0,19.0,100.0,72.0,20,True,1,,,
7,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2026-02-07 04:36:41,2026-02-06 08:30:33,10475.0,48.0,169.0,12.0,740.0,18.0,25.0,72.0,,,,,,161.0,19,True,1,2.0,,
8,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2025-12-11 22:17:57,2025-12-11 22:17:46,953.0,28.0,15.0,11.0,22.0,16.0,28.0,486.0,2025-11-16 20:42:15,2.7.0,,,11.0,6.0,16,True,2,,,
9,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2026-01-30 10:16:45,2026-01-08 19:07:47,1256.0,11.0,69.0,5.0,138.0,105.0,200.0,397.0,,,,,,33.0,16,True,1,-1.0,,
