,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2024-01-11 17:22:09,2024-01-11 00:30:56,32131.0,377.0,282.0,66.0,1882.0,445.0,834.0,3386.0,2023-12-21 22:52:38,4.4.0,91146.0,2531.0,24.0,156.0,30,True,1,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2024-01-11 17:55:23,2024-01-11 16:24:56,8367.0,1596.0,180.0,30.0,9405.0,135.0,116.0,544.0,,,,,,198.0,23,True,2,1.0,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2023-12-22 08:56:39,2023-12-22 08:56:39,296.0,3.0,30.0,10.0,52.0,21.0,44.0,238.0,2023-09-08 08:29:17,3.0.0,483805.0,7011.0,50.0,18.0,19,True,2,,
3,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2024-01-09 13:54:45,2024-01-09 09:25:12,2437.0,46.0,30.0,13.0,216.0,49.0,116.0,106.0,2023-12-22 15:31:42,0.0.122,424.0,12.0,100.0,49.0,19,True,1,1.0,
4,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2024-01-11 16:02:12,2024-01-07 22:49:20,196.0,21.0,13.0,8.0,19.0,13.0,6.0,70.0,2024-01-11 16:04:11,0.0.26-pre,83691.0,6974.0,32.0,8.0,17,True,1,,
5,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2024-01-11 06:44:17,2024-01-11 06:44:12,665.0,221.0,5.0,6.0,11.0,5.0,17.0,229.0,2023-10-19 19:51:51,0.0.5,,,1.0,4.0,16,True,3,1.0,
6,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2024-01-11 13:23:03,2024-01-08 23:36:02,10123.0,97.0,91.0,12.0,400.0,17.0,14.0,43.0,,,,,,92.0,16,True,1,,
7,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover/std4,https://github.com/leanprover/std4,Apache-2.0,2022-08-28 15:23:46,2024-01-11 15:04:57,2024-01-11 06:15:08,600.0,189.0,65.0,19.0,476.0,28.0,19.0,157.0,,,,,,40.0,15,True,3,1.0,
8,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2024-01-10 14:41:05,2023-12-25 11:01:49,877.0,176.0,13.0,9.0,18.0,51.0,111.0,69.0,2023-12-25 11:03:17,4.4.0,,,6.0,10.0,15,True,1,,
9,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2024-01-10 08:11:02,2024-01-10 08:10:28,455.0,43.0,33.0,7.0,102.0,26.0,46.0,48.0,,,,,,24.0,15,True,3,,
