,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2024-10-10 17:41:44,2024-10-10 17:20:35,34100.0,720.0,403.0,64.0,3814.0,577.0,1268.0,4577.0,2024-10-01 03:45:48,4.12.0,390506.0,8677.0,52.0,192.0,32,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2024-10-10 18:12:16,2024-10-10 16:56:06,14591.0,2345.0,309.0,40.0,17223.0,225.0,174.0,1441.0,,,,,,340.0,25,True,2,,,
2,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2024-10-10 13:42:31,2024-10-10 13:42:29,2619.0,24.0,48.0,11.0,319.0,45.0,159.0,161.0,2024-09-10 07:47:34,0.0.178,458.0,14.0,100.0,56.0,20,True,1,,,
3,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2024-10-08 14:02:05,2024-10-08 13:52:50,322.0,6.0,34.0,16.0,63.0,23.0,51.0,307.0,2024-02-22 22:04:49,3.1.1,764399.0,9799.0,55.0,20.0,19,True,2,1.0,,
4,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2024-10-03 12:48:03,2024-10-03 12:48:03,315.0,33.0,26.0,8.0,61.0,13.0,7.0,110.0,2024-10-02 10:28:23,0.0.43-pre,324098.0,15433.0,60.0,14.0,19,True,1,,,
5,LeanDojo,lean-dojo/LeanDojo,tool,Tool for data extraction and interacting with Lean programmatically.,https://github.com/lean-dojo/LeanDojo,https://github.com/lean-dojo/LeanDojo,MIT,2023-06-13 22:04:26,2024-10-06 20:47:09,2024-10-06 20:46:57,588.0,57.0,84.0,13.0,119.0,4.0,58.0,555.0,2024-08-15 02:32:32,2.1.2,,,32.0,17.0,18,True,2,,,
6,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2024-09-30 22:13:47,2024-09-30 22:13:47,832.0,107.0,9.0,7.0,17.0,10.0,23.0,352.0,2024-08-27 09:52:50,1.6.0,,,3.0,5.0,17,True,3,,,
7,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2024-10-10 17:12:18,2024-10-05 14:58:02,912.0,82.0,101.0,16.0,922.0,28.0,32.0,242.0,,,,,,60.0,16,True,3,,leanprover-community/batteries,
8,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2024-10-10 07:33:46,2024-10-01 08:28:07,1050.0,17.0,32.0,9.0,41.0,72.0,153.0,178.0,2024-04-10 13:24:11,4.7.0,,,10.0,19.0,16,True,1,,,
9,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2024-10-10 15:11:57,2024-10-10 15:05:16,10232.0,52.0,120.0,12.0,501.0,22.0,15.0,52.0,,,,,,114.0,16,True,1,,,
